street,streetLabel,namedAfter,namedAfterLabel,namedAfterDescription,genderLabel,birthYear,deathYear,occupationLabel,nationalityLabel
http://www.wikidata.org/entity/Q19800989,calle de Lope de Vega,http://www.wikidata.org/entity/Q165257,Lope de Vega,"sacerdote, poeta y dramaturgo español del Siglo de Oro",masculino,1562,1635,poeta,España
http://www.wikidata.org/entity/Q19800989,calle de Lope de Vega,http://www.wikidata.org/entity/Q165257,Lope de Vega,"sacerdote, poeta y dramaturgo español del Siglo de Oro",masculino,1562,1635,dramaturgo,España
http://www.wikidata.org/entity/Q19800989,calle de Lope de Vega,http://www.wikidata.org/entity/Q165257,Lope de Vega,"sacerdote, poeta y dramaturgo español del Siglo de Oro",masculino,1562,1635,sacerdote católico,España
http://www.wikidata.org/entity/Q19800989,calle de Lope de Vega,http://www.wikidata.org/entity/Q165257,Lope de Vega,"sacerdote, poeta y dramaturgo español del Siglo de Oro",masculino,1562,1635,traductor,España
http://www.wikidata.org/entity/Q28024324,calle de Lucio del Valle,http://www.wikidata.org/entity/Q5982356,Lucio del Valle,ingeniero y arquitecto español,masculino,1815,1874,arquitecto,España
http://www.wikidata.org/entity/Q28024324,calle de Lucio del Valle,http://www.wikidata.org/entity/Q5982356,Lucio del Valle,ingeniero y arquitecto español,masculino,1815,1874,ingeniero,España
http://www.wikidata.org/entity/Q28943623,calle de Luis Cabrera,http://www.wikidata.org/entity/Q6700397,Luis Cabrera de Córdoba,Escritor e historiador español (1559-1623),masculino,1559,1623,escritor,España
http://www.wikidata.org/entity/Q28943623,calle de Luis Cabrera,http://www.wikidata.org/entity/Q6700397,Luis Cabrera de Córdoba,Escritor e historiador español (1559-1623),masculino,1559,1623,historiador,España
http://www.wikidata.org/entity/Q118610441,calle de Luis Díaz Cobeña,http://www.wikidata.org/entity/Q107300559,Luis Díaz Cobeña,poeta y dramaturgo español (1837-1915),masculino,1837,1915,escritor,España
http://www.wikidata.org/entity/Q118610441,calle de Luis Díaz Cobeña,http://www.wikidata.org/entity/Q107300559,Luis Díaz Cobeña,poeta y dramaturgo español (1837-1915),masculino,1837,1915,abogado,España
http://www.wikidata.org/entity/Q118610441,calle de Luis Díaz Cobeña,http://www.wikidata.org/entity/Q107300559,Luis Díaz Cobeña,poeta y dramaturgo español (1837-1915),masculino,1837,1915,poeta,España
http://www.wikidata.org/entity/Q118610441,calle de Luis Díaz Cobeña,http://www.wikidata.org/entity/Q107300559,Luis Díaz Cobeña,poeta y dramaturgo español (1837-1915),masculino,1837,1915,político,España
http://www.wikidata.org/entity/Q118610441,calle de Luis Díaz Cobeña,http://www.wikidata.org/entity/Q107300559,Luis Díaz Cobeña,poeta y dramaturgo español (1837-1915),masculino,1837,1915,dramaturgo,España
http://www.wikidata.org/entity/Q29212673,calle de Luis Vives,http://www.wikidata.org/entity/Q316357,Juan Luis Vives,filósofo español,masculino,1492,1540,profesor,España
http://www.wikidata.org/entity/Q29212673,calle de Luis Vives,http://www.wikidata.org/entity/Q316357,Juan Luis Vives,filósofo español,masculino,1492,1540,pedagogo,España
http://www.wikidata.org/entity/Q29212673,calle de Luis Vives,http://www.wikidata.org/entity/Q316357,Juan Luis Vives,filósofo español,masculino,1492,1540,profesor universitario,España
http://www.wikidata.org/entity/Q29212673,calle de Luis Vives,http://www.wikidata.org/entity/Q316357,Juan Luis Vives,filósofo español,masculino,1492,1540,humanista del Renacimiento,España
http://www.wikidata.org/entity/Q29212673,calle de Luis Vives,http://www.wikidata.org/entity/Q316357,Juan Luis Vives,filósofo español,masculino,1492,1540,filósofo,España
http://www.wikidata.org/entity/Q28033229,calle de Luis Vélez de Guevara,http://www.wikidata.org/entity/Q1305828,Luis Vélez de Guevara,dramaturgo y novelista español,masculino,1579,1644,escritor,España
http://www.wikidata.org/entity/Q28033229,calle de Luis Vélez de Guevara,http://www.wikidata.org/entity/Q1305828,Luis Vélez de Guevara,dramaturgo y novelista español,masculino,1579,1644,poeta,España
http://www.wikidata.org/entity/Q28033229,calle de Luis Vélez de Guevara,http://www.wikidata.org/entity/Q1305828,Luis Vélez de Guevara,dramaturgo y novelista español,masculino,1579,1644,dramaturgo,España
http://www.wikidata.org/entity/Q28033229,calle de Luis Vélez de Guevara,http://www.wikidata.org/entity/Q1305828,Luis Vélez de Guevara,dramaturgo y novelista español,masculino,1579,1644,soldado,España
http://www.wikidata.org/entity/Q28016755,calle de Luisa Fernanda,http://www.wikidata.org/entity/Q240397,Luisa Fernanda de Borbón,infanta de España,femenino,1832,1897,aristócrata,España
http://www.wikidata.org/entity/Q27043844,calle de López de Hoyos,http://www.wikidata.org/entity/Q3072117,Juan López de Hoyos,escritor español,masculino,1511,1583,escritor,España
http://www.wikidata.org/entity/Q20908832,calle de Madrid,http://www.wikidata.org/entity/Q2807,Madrid,capital de España,,,,,
http://www.wikidata.org/entity/Q27243356,calle de Magallanes,http://www.wikidata.org/entity/Q1496,Fernando de Magallanes,navegante y explorador portugués al servicio de España (1480-1521),masculino,1480,1521,marino,Reino de Portugal
http://www.wikidata.org/entity/Q27243356,calle de Magallanes,http://www.wikidata.org/entity/Q1496,Fernando de Magallanes,navegante y explorador portugués al servicio de España (1480-1521),masculino,1480,1521,explorador,Reino de Portugal
http://www.wikidata.org/entity/Q27243356,calle de Magallanes,http://www.wikidata.org/entity/Q1496,Fernando de Magallanes,navegante y explorador portugués al servicio de España (1480-1521),masculino,1480,1521,marino,Reino de Portugal
http://www.wikidata.org/entity/Q28056166,calle de Maldonado,http://www.wikidata.org/entity/Q2742352,Francisco Maldonado,Spanish rebel,masculino,1480,1521,,
http://www.wikidata.org/entity/Q27048299,calle de Mallorca,http://www.wikidata.org/entity/Q8828,Mallorca,isla de España,,,,,
http://www.wikidata.org/entity/Q28537702,calle de Manuel Cortina,http://www.wikidata.org/entity/Q5992686,Manuel Cortina y Arenzana,abogado y político español,masculino,1802,1879,abogado,España
http://www.wikidata.org/entity/Q28537702,calle de Manuel Cortina,http://www.wikidata.org/entity/Q5992686,Manuel Cortina y Arenzana,abogado y político español,masculino,1802,1879,militar,España
http://www.wikidata.org/entity/Q28537702,calle de Manuel Cortina,http://www.wikidata.org/entity/Q5992686,Manuel Cortina y Arenzana,abogado y político español,masculino,1802,1879,político,España
http://www.wikidata.org/entity/Q29007235,calle de Manuel Fernández y González,http://www.wikidata.org/entity/Q4483027,Manuel Fernández y González,novelista español,masculino,1821,1888,escritor,España
http://www.wikidata.org/entity/Q29007235,calle de Manuel Fernández y González,http://www.wikidata.org/entity/Q4483027,Manuel Fernández y González,novelista español,masculino,1821,1888,poeta,España
http://www.wikidata.org/entity/Q29007235,calle de Manuel Fernández y González,http://www.wikidata.org/entity/Q4483027,Manuel Fernández y González,novelista español,masculino,1821,1888,dramaturgo,España
http://www.wikidata.org/entity/Q29007235,calle de Manuel Fernández y González,http://www.wikidata.org/entity/Q4483027,Manuel Fernández y González,novelista español,masculino,1821,1888,restaurador,España
http://www.wikidata.org/entity/Q29007235,calle de Manuel Fernández y González,http://www.wikidata.org/entity/Q4483027,Manuel Fernández y González,novelista español,masculino,1821,1888,novelista,España
http://www.wikidata.org/entity/Q29007235,calle de Manuel Fernández y González,http://www.wikidata.org/entity/Q4483027,Manuel Fernández y González,novelista español,masculino,1821,1888,escritor de cuentos,España
http://www.wikidata.org/entity/Q28032364,calle de Manuel Silvela,http://www.wikidata.org/entity/Q3286939,Manuel Silvela,político español,masculino,1830,1892,escritor,España
http://www.wikidata.org/entity/Q28032364,calle de Manuel Silvela,http://www.wikidata.org/entity/Q3286939,Manuel Silvela,político español,masculino,1830,1892,abogado,España
http://www.wikidata.org/entity/Q28032364,calle de Manuel Silvela,http://www.wikidata.org/entity/Q3286939,Manuel Silvela,político español,masculino,1830,1892,político,España
http://www.wikidata.org/entity/Q28032364,calle de Manuel Silvela,http://www.wikidata.org/entity/Q3286939,Manuel Silvela,político español,masculino,1830,1892,diplomático,España
